cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,location,site_depth,hub_height
1.0,WTIV,Mobilize,168.0,1750000.0,ACTION,0.0,MonopileInstallation,,,,,
0.5,Feeder 0,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,
0.5,Feeder 1,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,
,WTIV,Transit,3.2432432432432434,33783.78378378379,ACTION,3.2432432432432434,MonopileInstallation,,,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,12.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,20.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,32.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,40.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,52.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,60.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,72.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,80.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,92.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,100.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,112.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,120.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 1,Queue,120.0,600000.0,ACTION,120.0,MonopileInstallation,,,,,
,Feeder 0,Transit,3.2432432432432434,16216.216216216217,ACTION,123.24324324324324,MonopileInstallation,,,,,
,Feeder 0,Jackup,0.0008341675008341675,4.170837504170837,ACTION,123.24407741074408,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Delay: Not enough vessels for monopiles,120.00083416750084,1250008.6892448002,ACTION,123.24407741074408,MonopileInstallation,,,Site,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,128.24407741074407,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,128.56074407741073,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,129.56074407741073,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,132.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Release Monopile,3.0,31250.0,ACTION,132.56074407741073,MonopileInstallation,,,,,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,140.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Delay,10.0,104166.66666666666,ACTION,142.56074407741073,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,143.28380961273854,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,143.28705961273855,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,144.28705961273855,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Delay,3.0,31250.0,ACTION,147.28705961273855,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,148.78705961273855,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,150.78705961273855,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,151.78705961273855,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,152.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,152.78705961273855,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,156.78705961273855,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,157.1037262794052,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,160.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,162.1037262794052,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,162.42039294607187,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,163.42039294607187,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,166.42039294607187,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,167.14345848139968,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,167.14670848139968,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,168.14670848139968,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,169.64670848139968,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,171.64670848139968,MonopileInstallation,,,,,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,172.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,172.64670848139968,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,173.64670848139968,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,177.64670848139968,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,177.96337514806635,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,180.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,182.96337514806635,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,183.280041814733,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,184.280041814733,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,187.280041814733,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,188.00310735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,188.00635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,189.00635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,192.0,MonopileInstallation,MonopileInstallation,5.0,,,
,Feeder 1,Delay,19.0,95000.0,ACTION,211.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Delay,25.0,260416.66666666666,ACTION,214.00635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,215.50635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,217.50635735006082,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,218.50635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,219.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Delay,2.0,20833.333333333332,ACTION,220.50635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,221.50635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,225.50635735006082,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,225.8230240167275,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,230.8230240167275,MonopileInstallation,,,,,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,231.0,MonopileInstallation,MonopileInstallation,5.0,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,231.13969068339415,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,232.13969068339415,MonopileInstallation,MonopileInstallation,5.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,235.13969068339415,MonopileInstallation,,,,,
